Project,,,Observation Year,Observation Month/Day,Location,Species,Fish Count,Fish Count,Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2008,07/23,Eagle Sonar (Yukon/Canadian Border),Chinook,1068,1068,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2008,07/24,Eagle Sonar (Yukon/Canadian Border),Chinook,1220,1220,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2008,07/25,Eagle Sonar (Yukon/Canadian Border),Chinook,1370,1370,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2008,07/26,Eagle Sonar (Yukon/Canadian Border),Chinook,1200,1200,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2008,07/27,Eagle Sonar (Yukon/Canadian Border),Chinook,1417,1417,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2008,07/28,Eagle Sonar (Yukon/Canadian Border),Chinook,1611,1611,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2008,07/29,Eagle Sonar (Yukon/Canadian Border),Chinook,1619,1619,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2008,07/30,Eagle Sonar (Yukon/Canadian Border),Chinook,1956,1956,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2008,07/31,Eagle Sonar (Yukon/Canadian Border),Chinook,1852,1852,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2008,08/01,Eagle Sonar (Yukon/Canadian Border),Chinook,1643,1643,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2008,08/02,Eagle Sonar (Yukon/Canadian Border),Chinook,1563,1563,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2008,08/03,Eagle Sonar (Yukon/Canadian Border),Chinook,1370,1370,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2008,08/04,Eagle Sonar (Yukon/Canadian Border),Chinook,1228,1228,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2008,08/05,Eagle Sonar (Yukon/Canadian Border),Chinook,1176,1176,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2008,08/06,Eagle Sonar (Yukon/Canadian Border),Chinook,955,955,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2008,08/07,Eagle Sonar (Yukon/Canadian Border),Chinook,900,900,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2008,08/08,Eagle Sonar (Yukon/Canadian Border),Chinook,871,871,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2008,08/09,Eagle Sonar (Yukon/Canadian Border),Chinook,731,731,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2008,08/10,Eagle Sonar (Yukon/Canadian Border),Chinook,527,527,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2008,08/11,Eagle Sonar (Yukon/Canadian Border),Chinook,599,599,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2008,08/12,Eagle Sonar (Yukon/Canadian Border),Chinook,525,525,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2008,08/13,Eagle Sonar (Yukon/Canadian Border),Chinook,476,476,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2008,08/14,Eagle Sonar (Yukon/Canadian Border),Chinook,422,422,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2008,08/15,Eagle Sonar (Yukon/Canadian Border),Chinook,382,382,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2008,08/16,Eagle Sonar (Yukon/Canadian Border),Chinook,298,298,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2009,07/05,Eagle Sonar (Yukon/Canadian Border),Chinook,66,66,Single Run
