name,year,doy,mean_swe_kgm2,min_swe_kgm2,max_swe_kgm2,sum_swe_kgm2,count,nodata_count
Aniak,2009,92,186.9208913349043,147.49000549316406,234.1300048828125,931239.8806304932,4982,0.0
Ross,2009,92,154.59621693124384,94.1500015258789,370.6400146484375,1196110.9303970337,7737,0.0
YukonMainstem,2009,92,240.1655157192,63.06999969482422,2635.6298828125,22835657.731128693,95083,0.0
Holokuk,2009,92,211.65550593119337,181.97000122070312,263.5400085449219,246790.31991577148,1166,0.0
George,2009,92,200.9749769174926,166.1999969482422,264.1300048828125,736975.2403564453,3667,0.0
Atchuelinguk,2009,92,218.5582825431177,143.61000061035156,562.9099731445312,967120.4002532959,4425,0.0
Teslin,2009,92,209.51275763350927,77.36000061035156,843.969970703125,7514594.078041077,35867,0.0
Andreafsky,2009,92,254.48085167447266,144.99000549316406,474.8500061035156,1452067.739654541,5706,0.0
Holitna,2009,92,216.8669663711503,162.07000732421875,592.3599853515625,3627967.4804229736,16729,0.0
Goodnews,2010,92,109.06886511014524,49.08000183105469,286.760009765625,81692.57996749878,749,0.0
Henshaw,2010,92,106.3126643613245,81.38999938964844,116.97000122070312,185940.84996795654,1749,0.0
SFKoyukuk,2010,92,94.30127385784702,76.11000061035156,119.05999755859375,637382.310005188,6759,0.0
Sheenjek,2010,92,82.34392747879028,47.720001220703125,141.1999969482422,1169283.770198822,14200,0.0
Teedriinjik,2010,92,86.35523757730893,45.15999984741211,123.05000305175781,2555424.190387726,29592,0.0
Tozitna,2010,92,45.790261216302724,28.780000686645508,107.55000305175781,210360.4600276947,4594,0.0
Barton,2010,92,45.56885385376676,35.38999938964844,61.130001068115234,15903.5299949646,349,0.0
Gisasa,2010,92,103.13118865532383,66.55999755859375,184.6999969482422,144899.32006072998,1405,0.0
SFNulato,2010,92,93.0483052717181,51.77000045776367,166.63999938964844,82906.03999710083,891,0.0
Rodo,2010,92,69.02999999889961,40.15999984741211,113.08999633789062,28716.479999542236,416,0.0
Chatanika,2010,92,52.25157312160328,20.719999313354492,121.1500015258789,302588.8599472046,5791,0.0
Nulato,2010,92,98.95339880372343,50.29999923706055,206.57000732421875,241644.19987869263,2442,0.0
Blind,2010,92,142.53998007680855,68.04000091552734,276.7099914550781,72695.38983917236,510,0.0
Goodpaster,2010,92,83.27350520755024,27.93000030517578,156.0500030517578,334259.8499031067,4014,0.0
Kogrukluk,2010,92,65.72245766981592,50.650001525878906,105.9000015258789,135848.32000350952,2067,0.0
